 Eigenvectors after division by SQRT(mass)

 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =   92.668788 THz   582.255166 2PiTHz 3091.098034 cm-1   383.247139 meV
             X         Y         Z           dx          dy          dz
6.632662 3.445771 12.716280 0.000087 0.000055 -0.000038
0.941357 7.653910 1.408116 0.000087 0.000055 -0.000038
5.633376 2.607569 0.382961 -0.001398 0.000840 -0.000268
1.940643 8.492112 13.741435 -0.001398 0.000840 -0.000268
4.840773 1.945228 2.622035 0.002398 -0.001470 0.000488
2.733246 9.154452 11.502361 0.002398 -0.001470 0.000488
4.055198 1.305234 4.876300 -0.027625 0.016351 -0.004877
3.518821 9.794447 9.248096 -0.027625 0.016351 -0.004877
3.038702 9.149620 6.642741 -0.007766 0.024210 -0.046170
4.535317 1.950061 7.481655 -0.007766 0.024210 -0.046170
6.454004 2.681878 6.259783 -0.008856 0.000316 0.010090
1.120015 8.417803 7.864613 -0.008856 0.000316 0.010090
